疾病	症状	症状	"病症,指疾病。《古今小说·闹阴司司马貌断狱》:“次日昏迷不醒,叫唤也不答应,..."
1型糖尿病	血糖值升高	症状	"1型糖尿病患者由于是胰岛素的绝对缺乏,血糖升高快,症状也比较典型,常表现出明显...～8mmol/L,餐后2h血糖8～10mmol/L,HbA1c<9.0%;③超过上述值为血糖控制..."
1型糖尿病	糖代谢紊乱	症状	"没有胰岛素,身体就不能将葡萄糖转化成能量,因此I型糖尿病患者必须注射胰岛素才能存活。 糖尿病的症状可分为两大类:一大类是与代谢紊乱有关的表现,尤其是与高..."
1型糖尿病	糖尿	症状	"1型糖尿病,原名胰岛素依赖型糖尿病,易出现糖尿病酮症酸中毒,又叫青年发病型糖尿病,多发生在儿童和青少年,这是因为它常常在35岁以前发病,占糖尿病的10%以下。也可..."
2型糖尿病	多饮	症状	"2型糖尿病 外文名: Type 2 diabetes  别名: Non-insulin-dependent diabetes mellitus 传染病: 否  临床表现: 多饮,多食,多尿,不明原因的体重下降 ..."
2型糖尿病	血糖值升高	症状	"流行病学研究表明,肥胖、高热量饮食、体力活动不足及增龄是2型糖尿病最主要的...随机血糖是指就任意时间的血糖值,典型的糖尿病症状包括多尿、烦渴和无其他诱因..."
2型糖尿病	多食	症状	"2型糖尿病 外文名: Type 2 diabetes  别名: Non-insulin-dependent diabetes mellitus 传染病: 否  临床表现: 多饮,多食,多尿,不明原因的体重下降 ..."
2型糖尿病	消瘦	症状	"二,病情一般比较缓和、隐蔽,也就是说与I型糖尿病比,不那么来势汹汹,症状不明显,不见得每个病人都有喝得多、尿得多、吃得多的表现,多数人也没有显著的消瘦..."
ARDS	呼吸窘迫综合症	症状	"急性呼吸窘迫综合征(acute respiratory distress syndrome,ARDS)是指肺内、外严重疾病导致以肺毛细血管弥漫性损伤、通透性增强为基础,以肺水肿、透明膜形成和肺不张为..."
Alagille综合征	肺动脉狭窄	症状	"具有下列三项或三项以上者方可诊断为Alagille综合征: 1.肝内胆管发育不全。 2.周围肺动脉狭窄。 3.典型的面部特征。 4.脊柱前弓分裂。 5.直系亲属中有一人..."
