黑色素瘤,结节
黑色素瘤,淋巴结肿大
黑色素瘤,褪黑色素增多
黑色素瘤,阴道排液呈黑水样
鼓室硬化症,听力减退
鼓胀,脉络暴露
鼓胀,出血倾向
鼓胀,腹胀
鼓胀,移动性浊音
鼓胀,肝掌
鼓胀,便血
鼓膜外伤,耳漏
鼓膜外伤,头痛
鼓膜外伤,耳痛
鼓膜外伤,耳溢液
鼓膜外伤,恶心与呕吐
鼓膜外伤,鼓膜充血
鼠咬伤,咬伤愈合的伤口出现痛痒或麻木
鼠咬热,玫瑰疹
鼠咬热,硬斑
鼠咬热,淋巴结肿大
鼠咬热,发烧
鼠咬热,水泡
鼠标手,食指和中指僵硬痛麻
鼠标手,感觉障碍
鼠标手,腕部疼痛
鼠标手,拇、食、中三指有放射痛
鼠标手,手腕在大拇指侧的疼痛
鼠标手,感觉迟钝
鼠疫,淋巴结肿大
鼠疫,高热寒战
鼠疫,头痛
鼠疫,意识模糊
鼠疫,肢体疼痛
鼠疫耶尔森菌肺炎,咳血痰
鼠疫耶尔森菌肺炎,咳嗽
鼠疫耶尔森菌肺炎,紫绀
鼠疫耶尔森菌肺炎,呼吸急促
鼠疫耶尔森菌肺炎,肺部感染
鼠疫耶尔森菌肺炎,胸痛
鼠疫耶尔森菌肺炎,发烧
鼠螨叮咬,瘙痒
鼠螨叮咬,丘疹
鼻/鼻型T/NK细胞淋巴瘤,泛发性红色斑块
鼻/鼻型T/NK细胞淋巴瘤,鼻衄
鼻中隔偏曲,鼻中隔向一侧或两则弯曲
鼻中隔偏曲,鼻衄
鼻中隔偏曲,鼻塞
鼻中隔偏曲,头痛
鼻中隔偏曲,鼻塞及反射性头痛
鼻中隔穿孔,鼻衄
鼻中隔穿孔,鼻腔干燥及结痂
鼻中隔穿孔,鼻塞
鼻中隔穿孔,头痛
鼻中隔脓肿,周身不适
鼻中隔脓肿,头痛
鼻中隔脓肿,脓肿
鼻中隔脓肿,疼痛
鼻中隔脓肿,鼻塞
鼻中隔血肿,鼻塞
鼻中隔血肿,头痛
鼻中隔血肿,血肿形成
鼻中隔血肿,皮肤触痛
鼻中隔血肿,鼻粘膜肿胀
鼻出血,红鼻头
鼻出血,反复鼻出血
鼻出血,鼻粘膜溃疡
鼻出血,咳巧克力色痰
鼻出血,鼻腔中后部出血
鼻出血,恶心与呕吐
鼻出血,带血粘脓鼻涕
鼻前庭炎,鼻腔干燥及结痂
鼻前庭炎,鼻前庭皮肤红肿疼痛
鼻前庭炎,鼻毛脱落
鼻前庭炎,鼻前庭部发痒
鼻后滴漏综合症,鼻塞
鼻后滴漏综合症,咽部有异物感
鼻后滴漏综合症,流鼻涕
鼻后滴漏综合症,咳嗽
鼻后滴漏综合症,气喘
鼻咽炎,孕妇感冒
鼻咽炎,咳嗽
鼻咽炎,充血
鼻咽炎,恶心
鼻咽炎,咽痛
鼻咽炎,头痛
鼻咽炎,头晕
鼻咽癌,鼻根部水肿
