外伤性白内障,眼压升高
外伤性硬脑膜下积液,恶心与呕吐
外伤性股骨头坏死,髋关节痛
外伤性股骨头坏死,小腿肌肉萎缩
外伤性股骨头坏死,肌肉萎缩
外伤性胆管损伤,小胆管扭曲
外伤性脂肪坏死,脂肪代谢障碍
外伤性脑室内出血,高热
外伤性脑室内出血,恶心与呕吐
外伤性脑室内出血,头晕
外伤性脑室内出血,头痛
外伤性脑室内出血,发烧
外伤性脑积水,颅内压增高
外伤性脑积水,昏迷
外伤性脑积水,步态不稳
外伤性脑积水,情感淡漠
外伤性脑积水,情绪不宁
外伤性脑脊液漏,耳漏
外伤性脑脊液漏,脑脊液鼻漏
外伤性脑脊液漏,嗅觉丧失
外伤性脑脊液漏,头痛
外伤性脑脊液漏,耳鼓膜破裂
外伤性脑脓肿,瘀血积聚
外伤性脑膜炎,水肿
外伤性脑膜炎,血性耳漏
外伤性脑膜炎,脑膜刺激征
外伤性脑膜炎,脑沟变宽
外伤性脑膜炎,头痛
外伤性脑膜炎,侧脑室增宽
外伤性脑膜炎,昏迷
外伤性脾破裂,左、右腰腹痛
外伤性脾破裂,气机不畅
外伤性脾破裂,突发性疼痛
外伤性脾破裂,左腹屈曲
外伤性脾破裂,左侧卧时右腰呈空音，右侧卧时左腰呈浊音
外伤性腹膜后出血或血肿,瘀血积聚
外伤性腹膜后出血或血肿,肚子疼
外伤性腹膜后出血或血肿,血肿形成
外伤性腹膜后出血或血肿,内脏出血
外伤性腹膜后出血或血肿,反复出血
外伤性颈内动脉海绵窦瘘,持续颅内杂音
外伤性颈内动脉海绵窦瘘,眼压升高
外伤性颈内动脉海绵窦瘘,视网膜水肿
外伤性颈内动脉海绵窦瘘,失眠
外伤性颈内动脉海绵窦瘘,结膜充血
外伤性食管穿孔,吻合口并发症
外伤性食管穿孔,气道和食管之间的瘘管
外伤性食管穿孔,声门以上的损伤
外伤性食管穿孔,食管气管瘘
外伤性食管穿孔,大便黑色
外伤性食管穿孔,食管瘘
